N°,Country,Total Cases,New Cases,Total deaths,New deaths,Total recovered,Active cases
1,USA,18827809,+143181,332966,+2148,11027191,7467652
2,India,10123544,+24236,146778,+302,9692061,284705
3,Brazil,7365517,+45497,189220,+935,6354972,821325
4,Russia,2933753,+27250,52461,+549,2343967,537325
5,France,2505875,+14929,61978,+276,187272,2256625
6,UK,2149551,+39237,69051,+744,N/A,N/A
7,Turkey,2082610,+19650,18861,+259,1901307,162442
8,Italy,1991278,+14522,70395,+553,1322067,598816
9,Spain,1847874,+9220,49698,+178,N/A,N/A
10,Germany,1587420,+30809,29101,+860,1136700,421619
11,Argentina,1555279,,42254,,1379726,133299
12,Colombia,1530593,,40931,,1394374,95288
13,Mexico,1338426,+12511,119495,+897,996302,222629
14,Poland,1226883,+12361,26255,+472,965178,235450
15,Iran,1177004,+6261,54156,+153,914194,208654
16,Peru,1000153,,37218,,936182,26753
17,Ukraine,989642,+10136,17172,+275,615660,356810
18,South Africa,954258,+14046,25657,+411,811372,117229
19,Netherlands,721071,+10388,10737,+104,N/A,N/A
20,Indonesia,685639,+7514,20408,+151,558703,106528
21,Czechia,646312,+10821,10664,+51,546926,88722
22,Belgium,629109,+2198,18821,+124,43286,567002
23,Romania,604251,+5459,14766,+130,516423,73062
24,Chile,590914,+1725,16228,+11,561794,12892
25,Iraq,587676,+1173,12737,+12,525792,49147
26,Canada,526534,+5025,14558,+133,435817,76159
27,Bangladesh,504868,+1367,7359,+30,444345,53164
28,Philippines,464004,+1196,9048,+27,429972,24984
29,Pakistan,462814,+2142,9557,+83,415352,37905
30,Switzerland,423299,+5033,7029,+105,311500,104770
31,Morocco,423214,+2566,7086,+56,385895,30233
32,Sweden,396048,,8279,+23,N/A,N/A
33,Israel,384728,+2241,3141,+5,351780,29807
34,Portugal,383258,+4602,6343,+89,308446,68469
35,Saudi Arabia,361536,+177,6148,+9,352418,2970
36,Austria,344357,+2131,5654,+114,312921,25782
37,Serbia,312253,+4426,2833,+51,31536,277884
38,Hungary,308262,+1894,8616,+154,114631,185015
39,Jordan,281983,+2091,3652,+25,252158,26173
40,Nepal,255979,+743,1803,+5,246661,7515
41,Panama,217202,,3632,,176428,37142
42,Georgia,214871,+2345,2233,+51,191968,20670
43,Azerbaijan,208211,+2334,2340,+46,151660,54211
44,Ecuador,207084,+720,13962,+13,181618,11504
45,Japan,203113,+2455,2994,+50,172115,28004
46,Croatia,200086,+2763,3394,+66,180735,15957
