,Tweets,id,len,date,source,likes,retweets
0,"RT @phspecials: Corona Virus: Port Harcourt Lockdown

Rivers State Government might  lockdown Port Harcourt and its environs due to the ris…",1341861643236552704,140,2020-12-23 21:42:00,Twitter for Android,0,19
1,RT @detikcom: Pemerintah melarang warga negara Inggris memasuki wilayah Indonesia. Larangan tersebut dikeluarkan setelah ditemukannya varia…,1341860860864577540,140,2020-12-23 21:38:54,Twitter for Android,0,11
2,"BERSATU KITA LAWAN COVID-19

""Menegakkan Disiplin Tidak Bisa Dengan Bujuk Rayu, Demi Kemaslahatan Masyarakat Agar T… https://t.co/flYe5Dj92x",1341859800217317376,140,2020-12-23 21:34:41,Twitter for Android,0,0
3,"@lukemcgee Four patients with the British corona Covid 19 virus were found in Israel, but according to experts, the… https://t.co/4c2njG4Ptv",1341857712817254402,140,2020-12-23 21:26:23,Twitter Web App,0,0
4,"RT @mwcartoons: Brexit Accelator
With the English variant of the old Covid-19 virus, Europe will be gone in a minute. #brexit #BrexitShambl…",1341857304828850176,140,2020-12-23 21:24:46,Twitter for Android,0,3
5,"RT @BBCIndonesia: Covid-19: Vatikan sebut vaksin virus corona 'secara moral dapat diterima', meski dibuat dari jaringan sel janin hasil abo…",1341856539934478336,140,2020-12-23 21:21:44,Twitter for Android,0,24
6,"@nytimes Four patients with the British corona Covid 19 virus were found in Israel, but according to experts, there… https://t.co/BmLTYp6RG4",1341856412591382530,140,2020-12-23 21:21:13,Twitter Web App,0,0
7,"@CNN Four patients with the British corona Covid 19 virus were found in Israel, but according to experts, there are… https://t.co/ECBUt4loUX",1341856311135318026,140,2020-12-23 21:20:49,Twitter Web App,0,0
8,"@Breaking911 Four patients with the British corona Covid 19 virus were found in Israel, but according to experts, t… https://t.co/v44LHocpGn",1341856195141902337,140,2020-12-23 21:20:22,Twitter Web App,0,0
9,"@Reuters Four patients with the British corona Covid 19 virus were found in Israel, but according to experts, there… https://t.co/OssDsuAjP0",1341855783944859651,140,2020-12-23 21:18:44,Twitter Web App,0,0
10,"@GuardianAus Four patients with the British corona Covid 19 virus were found in Israel, but according to experts, t… https://t.co/86PMe9HiBJ",1341855686431551491,140,2020-12-23 21:18:20,Twitter Web App,0,0
11,"@cnnbrk Four patients with the British corona Covid 19 virus were found in Israel, but according to experts, there… https://t.co/JuDsemWt3A",1341855571717349377,139,2020-12-23 21:17:53,Twitter Web App,0,0
12,"@nytimes Four patients with the British corona Covid 19 virus were found in Israel, but according to experts, there… https://t.co/gtRpiD5MjN",1341855466083725314,140,2020-12-23 21:17:28,Twitter Web App,0,0
13,"@washingtonpost Four patients with the British corona Covid 19 virus were found in Israel, but according to experts… https://t.co/wI0M0istVY",1341855336601411588,140,2020-12-23 21:16:57,Twitter Web App,0,0
14,"@Reuters Four patients with the British corona Covid 19 virus were found in Israel, but according to experts, there… https://t.co/6mYcaBI6wc",1341855139766956032,140,2020-12-23 21:16:10,Twitter Web App,1,0
15,"Four patients with the British corona Covid 19 virus were found in Israel, but according to experts, there are many… https://t.co/ifVncSECSx",1341855041922215936,140,2020-12-23 21:15:47,Twitter Web App,1,0
16,Pasca pendemi #corona utk mengurangi dan mencegah penyebaran virus covid 19 pihak pengurus RTH JATIBARANG menghimba… https://t.co/aYLfFVvB8U,1341853807538360321,140,2020-12-23 21:10:52,Twitter for Android,0,0
17,RT @JacquelineKoops: Pas op met Corona. Het is een afschuwelijk virus. Negen maanden (!) na mijn besmetting kan ik nog steeds niet lang aut…,1341852824582324224,140,2020-12-23 21:06:58,Twitter for iPhone,0,2
18,"Benegakan Disiplin Tidak Bisa Dengan Bujuk Rayu,
Demi Kemaslahatan Masyarakat Agar Terhindar Dari Virus Corona Maka… https://t.co/wAYFJBmIkN",1341852765186736128,140,2020-12-23 21:06:44,Twitter for Android,2,0
19,"RT @LACity: Updated for 12/23/20: 
The LA City Mobile Testing Group is bringing COVID-19 testing to communities throughout the City for tho…",1341852439662620672,140,2020-12-23 21:05:26,Twitter for Android,0,25
