,Tweets,id,len,date,source,likes,retweets
0,"Vaccination is one of the best ways to prevent diseases and approved #COVID19 vaccines will be no different. 

Find… https://t.co/yOMVzn8vUo",1341808376175616002,140,2020-12-23 18:10:21,Twitter Web App,81,26
1,Find out how #COVID-19 vaccines are being developed while maintaining the highest standards on safety 👉… https://t.co/Kg0Gn70wmx,1341808343892037632,128,2020-12-23 18:10:13,Twitter Web App,87,19
2,"In the week of 14-20/12:

🔺4.6 m people infected and 79,000 died of #COVID19

🔺Americas: most new cases

🔺European… https://t.co/DcWDzOIi73",1341800990522056706,139,2020-12-23 17:41:00,TweetDeck,169,88
3,"ICYMI: Q&amp;A on the new #COVID19 virus variant with WHO, @CovidGenomicsUK &amp; @sangerinstitute experts ⬇️

https://t.co/YWE2c4BQTH",1341792522385940484,134,2020-12-23 17:07:21,Twitter Web App,38,10
4,"Live Q&amp;A on the new #COVID19 virus variant with WHO, @CovidGenomicUK &amp; @sangerinstitute experts https://t.co/QoRQcmjCfj",1341776827342196742,127,2020-12-23 16:04:59,Periscope,254,120
5,"""When we say #healthworkers are priority to get #COVID19 vaccine - does that mean only some health workers or is th… https://t.co/aZ3UUb6Wnl",1341690451506696192,140,2020-12-23 10:21:45,Twitter Web App,665,262
6,"RT @WHO: If a child in your life is worried that #SantaClaus 🎅 might not be able to travel and deliver presents 🎁 due to #COVID19, Dr @mvan…",1341689020359839744,140,2020-12-23 10:16:04,Twitter Web App,0,409
7,If a child in your life is worried that #SantaClaus 🎅 might not be able to travel and deliver presents 🎁 due to… https://t.co/Y3024hGk5d,1341490779009773568,136,2020-12-22 21:08:20,Twitter for iPhone,1035,409
8,"We are #InThisTogether to beat #COVID19 - tip5⃣

Open windows to increase the amount of ‘natural ventilation’ when… https://t.co/gZi8lx2P9R",1341418975935250432,139,2020-12-22 16:23:00,Twitter Web App,117,39
9,"We are #InThisTogether to beat #COVID19 - tip 4⃣

Cover your👄&amp;👃with your bent elbow or tissue when you cough/sneeze… https://t.co/NeP7fBrzVt",1341408356179845122,144,2020-12-22 15:40:48,Twitter Web App,171,52
10,"We are #InThisTogether to beat #COVID19 - tip 3⃣

Maintain at least a 1-metre📏 distance between yourself &amp; others.… https://t.co/b2rPaw2SvM",1341396968157929476,143,2020-12-22 14:55:33,Twitter Web App,165,45
11,"We are #InThisTogether to beat #COVID19 - tip 2⃣

Make wearing a mask😷 a normal part of being around other people.… https://t.co/8QuoquvmpG",1341384186482061312,139,2020-12-22 14:04:46,Twitter Web App,156,48
12,"We are #InThisTogether to beat #COVID19 - tip 1⃣

Regularly &amp; thoroughly clean your🙌with an alcohol-based hand rub🧴… https://t.co/CYRaiOYQlp",1341374245889314817,144,2020-12-22 13:25:16,Twitter Web App,133,39
13,"We are #InThisTogether to beat #COVID19

Here are 5⃣ tips that help you stay safe to protect yourself and others:… https://t.co/mjK1JejJP4",1341358838038016001,138,2020-12-22 12:24:02,Twitter Web App,919,415
14,Learning is easier in your own language. WHO’s free online learning platform offers #COVID19 related courses in mor… https://t.co/0dpomZphdR,1341313680114331649,140,2020-12-22 09:24:36,Twitter Web App,140,41
15,The full remarks by @DrTedros 👇 https://t.co/pJ6NjyArRa,1341062802459537411,55,2020-12-21 16:47:42,Twitter Web App,146,44
16,"""The latest edition of the #HumanDevelopment Report, published last week, takes an in-depth look at the #COVID19 pa… https://t.co/xVAggZ4kMx",1341062162240958465,140,2020-12-21 16:45:09,Twitter Web App,118,44
17,"""@UNDP has long been a critical partner to WHO, working closely on a host of health and development issues together… https://t.co/56OVnpfTTP",1341061991633481728,140,2020-12-21 16:44:29,Twitter Web App,60,16
18,"""Every crisis is an opportunity to question the way we do things &amp; to find new ways of doing them.

For 30 years, o… https://t.co/YEw1pYFFYo",1341061847697551360,144,2020-12-21 16:43:54,Twitter Web App,56,30
19,"""The #COVID19 pandemic has exploited &amp; exacerbated the vulnerabilities &amp; inequalities of our world.

But it has als… https://t.co/HMdD3cszay",1341060476889907200,148,2020-12-21 16:38:28,Twitter Web App,80,39
