post_id,post_url,user_id,time,text,link,images,video,likes,comments,shares
2725660197674422,https://facebook.com/watch?v=2725660197674422,154163327962392,2020-12-23 17:05:03,"Live Q&A on the new #COVID19 virus variant with WHO, COVID Genomic UK, and Sanger Institute's experts",,[],https://scontent.frba3-1.fna.fbcdn.net/v/t66.36281-6/10000000_1090774164678772_7020051488017430124_n.mp4?_nc_cat=103&ccb=2&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6Im9lcF9zZCJ9&_nc_ohc=BpcvFeT_ArwAX9tr5cE&_nc_ht=scontent.frba3-1.fna&oh=319a7fce5a3a5cf37d1586375403c300&oe=6007C0D3,5293,1739,1329
3851477244897630,https://facebook.com/watch?v=680452425976073,154163327962392,2020-12-23 11:23:28,"""When we say health workers are priority to get COVID-19 vaccine - does that mean only some health workers or is that all health workers?"" - Dr Mike Ryan's food for thought over upcoming holidays   ",,[],https://video.frba3-2.fna.fbcdn.net/v/t42.1790-2/132521921_734757964128732_4648117939881892652_n.mp4?_nc_cat=1&ccb=2&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6ImxlZ2FjeV9zZCJ9&_nc_ohc=f_A7oMfcagMAX_wzbdg&_nc_ht=video.frba3-2.fna&oh=bfc14c84fa70ab80e56c6ea2fd9aa176&oe=5FE3D656,549877,10058,0
3849703461741675,https://facebook.com/watch?v=136264598137465,154163327962392,2020-12-22 23:51:30,"If a child in your life is worried that Santa Claus   might not be able to travel and deliver presents   due to COVID-19, Dr Maria Van Kerkhove can provide reassurance:   is immune.",,[],https://video.frba3-2.fna.fbcdn.net/v/t42.1790-2/132520208_1567520426781449_5113791858166921594_n.mp4?_nc_cat=1&ccb=2&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6ImxlZ2FjeV9zZCJ9&_nc_ohc=p6v9FAvIbT4AX_wYSFz&_nc_ht=video.frba3-2.fna&oh=832ff475559dde982f174920b9a5c74e&oe=5FE3E3E2,436060,9660,0
3848775615167793,https://facebook.com/story.php?story_fbid=3848775615167793&id=154163327962392,154163327962392,2020-12-22 16:51:54,Shopping this holiday season?       Avoid crowded shopping centres   Shop during less crowded times   Shop online,,[],,14719,380,0
3846266722085349,https://facebook.com/watch?v=1356053168069756,154163327962392,2020-12-22 08:01:58,Feeling stressed? New WHO guide provides techniques to help you cope with stress.  Download   http://bit.ly/WHOStressManagement,https://bit.ly/WHOStressManagement,[],https://video.frba3-1.fna.fbcdn.net/v/t42.9040-2/95828011_257771758959017_4230628608596508672_n.mp4?_nc_cat=104&ccb=2&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6ImxlZ2FjeV9zZCJ9&_nc_ohc=Zbn7ZyPV5wAAX_uCSGc&_nc_ht=video.frba3-1.fna&oh=5b45c4e65055560bc5d3ceb66d2e9a99&oe=5FE3E017,3241,182,0
3846261455419209,https://facebook.com/watch?v=724348588207004,154163327962392,2020-12-21 23:59:04,"#WearAMask and protect your loved ones from COVID-19. But to break the chains of transmission, we must also: -Keep physical distance -Keep cleaning your hands -Keep away from big crowds -Keep covering your   and   when coughing -Keep opening windows          !",,[],https://video.frba3-2.fna.fbcdn.net/v/t42.9040-2/117956276_1225540967780385_691163134962189401_n.mp4?_nc_cat=111&ccb=2&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6ImxlZ2FjeV9zZCJ9&_nc_ohc=E0vv5MErAYYAX8wgksF&_nc_ht=video.frba3-2.fna&oh=347f92c45eb4ebee5a67aebcdd67eedf&oe=5FE3DA37,179527,2553,0
1115609845552770,https://facebook.com/watch?v=1115609845552770,154163327962392,2020-12-21 17:20:30,Media briefing on COVID-19,,[],https://scontent.frba3-2.fna.fbcdn.net/v/t66.36281-6/10000000_423742052084121_1602990880541007674_n.mp4?_nc_cat=111&ccb=2&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6Im9lcF9zZCJ9&_nc_ohc=yhLAt4BdOJMAX9e5j8I&_nc_ht=scontent.frba3-2.fna&oh=50d229172c45ccbeb9f96e70d32a1922&oe=600B4418,10211,3401,2951
3844151618963526,https://facebook.com/story.php?story_fbid=3844151618963526&id=154163327962392,154163327962392,2020-12-21 00:15:25,Crowded & messy home? Kids crying? Teenagers screaming? Back-to-back online meetings?  Take a deep breath. Take a break. Do something for yourself.  Be kind and take care of yourself so you can take care of your children.,,[],,21773,539,0
3841407125904642,https://facebook.com/story.php?story_fbid=3841407125904642&id=154163327962392,154163327962392,2020-12-20 15:23:00,  How to wear a non-medical fabric mask safely during COVID-19: Do s and don ts,,[],,79802,1773,0
3842225495822805,https://facebook.com/story.php?story_fbid=3842225495822805&id=154163327962392,154163327962392,2020-12-20 08:08:23,The right to health means access to universal health coverage that is:   Timely   Good Quality   Affordable   Acceptable   Appropriate,,['https://scontent.frba3-1.fna.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/131632528_3842225452489476_3664094248995935525_o.jpg?_nc_cat=103&ccb=2&_nc_sid=110474&_nc_ohc=zeKejxc187EAX8KHrG2&_nc_ht=scontent.frba3-1.fna&tp=14&oh=e4eb88224fa00cae17b4ddf36711014a&oe=60084238'],,6457,229,0
